,species_name,coded_property_name,collapsed_data_minimum,collapsed_data_maximum,collapsed_data_value
392,Carex_densipilosa,inflorescence_length,1cm;12mm,2cm;40mm,
393,Carex_densipilosa,inflorescence_width,0.2cm;2mm,0.25cm;4mm,
394,Carex_densipilosa,leaf_width,4mm,12mm,
395,Carex_densipilosa,plant_height,15cm,35cm,tall
396,Carex_deqinensis,inflorescence_size,0cm;2cm,20cm;2.5cm,
397,Carex_deqinensis,leaf_width,2mm,3mm,
398,Carex_deqinensis,plant_height,65cm,80cm,slender
399,Carex_diandra,inflorescence_length,2cm,3.5cm,
400,Carex_diandra,inflorescence_size,5mm,7mm,
401,Carex_diandra,leaf_width,2mm,3mm,
402,Carex_diandra,plant_height,45cm;30cm,90cm;45cm,tall
403,Carex_dichroa,inflorescence_length,1.5cm,2.5cm,
404,Carex_dichroa,inflorescence_size,1cm,3cm,
405,Carex_dichroa,inflorescence_width,0.7cm,0.8cm,
406,Carex_dichroa,plant_height,15cm,50cm,
407,Carex_dickinsii,inflorescence_length,1.5cm,2cm,
408,Carex_dickinsii,inflorescence_size,1.5cm,2cm,
409,Carex_dickinsii,leaf_width,4mm,8mm,
410,Carex_dickinsii,plant_height,20cm,70cm,tall
411,Carex_dielsiana,inflorescence_size,3cm,4cm,
412,Carex_dielsiana,plant_height,25cm,60cm,tall
413,Carex_dimorpholepis,inflorescence_length,45mm,55mm,
414,Carex_dimorpholepis,inflorescence_size,40mm,60mm,
415,Carex_dimorpholepis,inflorescence_width,5mm,6mm,
416,Carex_dimorpholepis,leaf_width,4mm,7mm,
417,Carex_dimorpholepis,plant_height,35cm,80cm,tall
418,Carex_diplodon,inflorescence_size,2.5cm;2.5cm,3cm;5cm,
419,Carex_diplodon,leaf_width,3mm,5mm,
420,Carex_diplodon,plant_height,19cm,22cm,tall
421,Carex_dispalata,inflorescence_size,4cm;3cm,6cm;9cm,
422,Carex_dispalata,leaf_width,4mm,8mm,
423,Carex_dispalata,plant_height,40cm,80cm,tall
424,Carex_disperma,leaf_width,1mm,1.5mm,
425,Carex_disperma,nutlet_size,1.5mm,1.8mm,
426,Carex_disperma,plant_height,30cm,50cm,tall
427,Carex_doisutepensis,inflorescence_length,4mm,8mm,
428,Carex_doisutepensis,inflorescence_width,3.5mm,5mm,
429,Carex_doisutepensis,leaf_width,3mm,4mm,
430,Carex_doisutepensis,plant_height,0cm,150cm,
431,Carex_dolichostachya,inflorescence_length,35mm;20mm,50mm;40mm,
432,Carex_dolichostachya,inflorescence_width,1.5mm;1.5mm,2mm;3mm,
433,Carex_dolichostachya,leaf_width,3mm;5mm;3mm,10mm;10mm;5mm,
434,Carex_dolichostachya,nutlet_size,2mm,2.5mm,
435,Carex_dolichostachya,plant_height,30cm,60cm,tall;slender
436,Carex_doniana,inflorescence_size,3cm;3cm,7.5cm;7cm,
437,Carex_doniana,leaf_width,5mm,12mm,
438,Carex_doniana,plant_height,30cm,60cm,tall
