,species_name,coded_property_name,collapsed_data
466,carex_douglasii,maximum_leaf_width,3.5mm;3mm
467,carex_douglasii,maximum_plant_height,40cm
468,carex_duriuscula,maximum_inflorescence_length,2cm
469,carex_duriuscula,maximum_leaf_width,1.8mm
470,carex_duriuscula,maximum_plant_height,35cm
471,carex_ebenea,maximum_inflorescence_length,3cm
472,carex_ebenea,maximum_inflorescence_width,20mm
473,carex_ebenea,maximum_leaf_width,4mm
474,carex_ebenea,maximum_plant_height,50cm
475,carex_eburnea,maximum_plant_height,31cm
476,carex_echinata,maximum_fruit_length,2.1mm
477,carex_echinata,maximum_fruit_width,1.55mm
478,carex_echinata,maximum_inflorescence_length,7.8cm
479,carex_echinata,maximum_leaf_width,3.3mm;3.8mm;3.3mm
480,carex_echinata,maximum_plant_height,90cm
481,carex_edwardsiana,maximum_fruit_length,3.4mm
482,carex_edwardsiana,maximum_fruit_width,2.1mm
483,carex_edwardsiana,maximum_leaf_width,3.6mm
484,carex_edwardsiana,maximum_plant_height,34cm
485,carex_egglestonii,maximum_inflorescence_length,2cm;3cm
486,carex_egglestonii,maximum_inflorescence_width,27mm;21mm
487,carex_egglestonii,maximum_leaf_width,4.5mm
488,carex_egglestonii,maximum_plant_height,72cm
489,carex_eleusinoides,maximum_leaf_width,3mm
490,carex_eleusinoides,maximum_plant_height,30cm
491,carex_elliottii,maximum_inflorescence_length,10cm
492,carex_elliottii,maximum_leaf_width,4.5mm
493,carex_elliottii,maximum_plant_height,75cm
494,carex_elynoides,maximum_fruit_length,3mm;2.7mm
495,carex_elynoides,maximum_fruit_width,1.2mm;1.5mm
496,carex_elynoides,maximum_leaf_width,0.6mm
497,carex_emoryi,maximum_leaf_width,6mm
498,carex_emoryi,maximum_plant_height,115cm
499,carex_endlichii,maximum_fruit_length,2.5mm
500,carex_endlichii,maximum_fruit_width,1.5mm
501,carex_endlichii,maximum_leaf_width,4mm
502,carex_endlichii,maximum_plant_height,50cm
503,carex_engelmannii,maximum_inflorescence_length,1.5cm
504,carex_engelmannii,maximum_inflorescence_width,8mm
505,carex_engelmannii,maximum_leaf_width,0.6mm
506,carex_engelmannii,maximum_plant_height,15cm
507,carex_epapillosa,maximum_leaf_width,6mm
508,carex_epapillosa,maximum_plant_height,60cm
509,carex_exilis,maximum_fruit_length,2.2mm
510,carex_exilis,maximum_fruit_width,1.7mm
511,carex_exilis,maximum_inflorescence_length,4cm
512,carex_exilis,maximum_leaf_width,1.5mm;1.5mm
513,carex_exilis,maximum_plant_height,80cm
514,carex_exsiccata,maximum_inflorescence_length,36cm
515,carex_exsiccata,maximum_leaf_width,6.2mm
516,carex_exsiccata,maximum_plant_height,100cm
517,carex_extensa,maximum_leaf_width,4.3mm;3.5mm
518,carex_extensa,maximum_plant_height,75cm
519,carex_festucacea,maximum_inflorescence_length,6cm
520,carex_festucacea,maximum_inflorescence_width,11mm
521,carex_festucacea,maximum_leaf_width,3.5mm
522,carex_festucacea,maximum_plant_height,100cm
523,carex_feta,maximum_plant_height,97cm
524,carex_filifolia,maximum_fruit_length,3.3mm
525,carex_filifolia,maximum_fruit_width,1.9mm
526,carex_filifolia,maximum_leaf_width,0.7mm
527,carex_filifolia,maximum_plant_height,35cm
528,carex_fissa,maximum_fruit_length,1.9mm
529,carex_fissa,maximum_fruit_width,1.6mm
530,carex_fissa,maximum_inflorescence_length,7cm
531,carex_fissa,maximum_inflorescence_width,25mm
532,carex_fissa,maximum_leaf_width,
533,carex_fissa,maximum_plant_height,80cm
534,carex_fissuricola,maximum_leaf_width,8mm
535,carex_fissuricola,maximum_plant_height,80cm
536,carex_flacca,maximum_fruit_length,
537,carex_flacca,maximum_fruit_width,
538,carex_flacca,maximum_inflorescence_length,10cm
539,carex_flacca,maximum_leaf_width,
